ID,Fhat3
CroCro_0586,-0.00462303
L-187,-0.0294616
CroCro_0588,-0.00180215
CroCro_0589,-0.0384164
CroCro_0590,-0.0343474
CroCro_0591,-0.0343473
CroCro_0592,0.00572861
L-202,-0.0440321
CroCro_0594,-0.0152001
CroCro_0595,-0.0074685
CroCro_0596,-0.0201838
L-218,-0.0402674
L-219,-0.0195472
L-221,-7.15164e-4
CroCro_0600,0.0193989
CroCro_0601,0.0483427
L-227,-0.0104061
L-228,-0.0170613
CroCro_0604,-0.0155007
L-243,-0.0226885
L-245,-0.0125726
CroCro_0607,-0.0196824
CroCro_0608,0.023293
CroCro_0609,-0.0146072
CroCro_0610,-0.0176197
CroCro_0611,-0.0451553
CroCro_0612,-0.0339948
L-261,-0.00193852
CroCro_0614,-0.0148964
CroCro_0615,0.030835
CroCro_0616,-0.00118728
CroCro_0617,-0.0355683
CroCro_0618,0.00468713
CroCro_0619,-0.0262388
CroCro_0620,-0.0246011
CroCro_0621,-0.00624852
CroCro_0622,-0.0297857
L-288,-0.0386503
CroCro_0624,-4.02244e-4
L-290,0.0435827
CroCro_0626,-0.00926801
L-296,-0.0368865
CroCro_0628,-0.0255529
CroCro_0629,-0.0360458
CroCro_0630,-0.0233835
L-303,-0.0297873
CroCro_0632,0.00165789
CroCro_0633,-0.0239957
CroCro_0634,0.00492864
CroCro_0635,-8.70377e-4
CroCro_0636,-0.0121966
CroCro_0637,0.00568673
L-315,-0.0063117
CroCro_0639,-0.0374801
CroCro_0640,-0.00722984
CroCro_0641,0.0276987
CroCro_0642,-0.0101931
CroCro_0643,0.0124869
CroCro_0644,0.0087724
CroCro_0645,-0.00231556
L-339,-0.00887008
CroCro_0647,-0.00978093
CroCro_0648,-0.0272077
CroCro_0650,-0.0496961
CroCro_0651,0.0446364
L-355,0.00580158
L-359,-0.0157249
CroCro_0654,-0.0395068
CroCro_0655,-0.00412675
CroCro_0656,-0.0231758
CroCro_0657,0.0381308
CroCro_0658,0.0347665
CroCro_0659,-0.0136102
CroCro_0660,-0.024659
CroCro_0661,-0.0371784
CroCro_0662,-0.0255794
L-401,-0.00352523
CroCro_0664,0.0245952
CroCro_0665,-0.0107681
CroCro_0666,-0.00426614
CroCro_0667,-0.00411849
CroCro_0668,0.0515599
CroCro_0669,0.00308675
CroCro_0670,-0.00430124
CroCro_0671,2.1226e-4
CroCro_0672,-0.00785498
CroCro_0673,-0.00852098
CroCro_0674,0.00705344
CroCro_0675,0.0012606
CroCro_0676,-0.00596229
CroCro_0677,0.0092438
CroCro_0678,-0.0115776
CroCro_0679,-0.0172871
L-485,-0.00328337
CroCro_0681,-0.0136445
CroCro_0682,0.0123344
CroCro_0683,-0.0108093
CroCro_0684,0.0088355800000000009
CroCro_0685,0.00260627
CroCro_0686,0.0209137
CroCro_0687,-0.0179057
CroCro_0688,-0.0158891
CroCro_0689,-0.0178206
CroCro_0690,-0.0369854
CroCro_0691,-0.0134124
CroCro_0692,0.0905573
CroCro_0693,0.011189
CroCro_0694,-0.00589543
CroCro_0695,-0.00738283
M-005,-0.0409082
M-006,-0.034947
CroCro_0698,-0.0171907
CroCro_0699,-0.0442768
M-014,0.0346766
CroCro_0701,0.0113911
CroCro_0703,-0.0316141
M-042,-0.0185062
M-043,-0.0294823
M-047,0.0231712
M-051,-0.00474303
CroCro_0709,-0.00124937
CroCro_0710,-0.0104825
M-082,-0.0271149
CroCro_0712,-0.0202888
CroCro_0713,-0.050024
M-088,-0.0330895
CroCro_0715,-0.0285528
M-097,-0.0114174
M-098,-0.0306561
M-099,-0.0355838
CroCro_0719,-0.0362115
M-102,-0.0286947
CroCro_0721,0.0268239
M-104,0.0189779
CroCro_0724,-0.0377502
M-116,0.00425244
CroCro_0726,-0.0264117
CroCro_0727,0.00419559
CroCro_0728,-0.0391422
M-123,-4.00922e-4
CroCro_0730,0.0194731
M-128,-0.0280381
M-132,-0.0283938
CroCro_0733,-0.0338037
M-136,0.0327923
M-138,-0.0345196
CroCro_0736,-0.0181671
CroCro_0737,0.0208767
CroCro_0738,0.134135
CroCro_0739,-0.013007
M-144,-0.0388594
M-145,-0.018262
CroCro_0742,0.00420604
CroCro_0743,-0.0293533
CroCro_0744,-0.0254814
M-150,0.0104128
CroCro_0746,0.00218489
M-158,-0.0151225
CroCro_0748,-0.0102347
CroCro_0749,-0.00358858
CroCro_0751,-0.00724707
CroCro_0752,0.0134692
CroCro_0753,1.21985e-4
CroCro_0754,-0.0117432
CroCro_0755,-0.0227925
CroCro_0756,0.0436593
CroCro_0757,0.122532
CroCro_0758,0.0312677
CroCro_0759,0.0331739
CroCro_0760,0.0241278
CroCro_0761,0.00527183
M-179,-0.0175129
M-180,-0.0111088
M-181,-0.0205545
M-183,-0.0192301
CroCro_0766,-0.00379683
M-193,-0.0311625
CroCro_0768,-0.0326218
CroCro_0769,-0.0262117
CroCro_0770,0.0861808
CroCro_0771,-0.0116569
CroCro_0772,0.104796
CroCro_0773,0.027468
CroCro_0774,-0.0285952
CroCro_0775,0.140939
CroCro_0776,0.0569621
M-210,0.0261695
M-212,0.00920837
CroCro_0779,-0.0493039
CroCro_0780,-0.0254693
CroCro_0781,-0.0140589
M-225,-0.0129894
M-226,0.027552
M-228,-0.0125702
CroCro_0785,-0.0267898
CroCro_0786,0.172037
CroCro_0787,0.0268472
CroCro_0788,-0.00465148
M-238,-0.00214196
CroCro_0790,6.31879e-4
CroCro_0791,-0.0359803
M-241,0.00646517
CroCro_0793,-0.0309704
CroCro_0794,-0.0275384
M-246,-0.0431366
M-247,-0.0125941
CroCro_0797,-0.0318859
CroCro_0798,0.0041114
CroCro_0799,-0.00584131
CroCro_0800,-0.00824297
CroCro_0801,0.111078
CroCro_0802,0.0817998
CroCro_0803,0.102076
CroCro_0804,0.0771229
CroCro_0805,-0.0265502
CroCro_0806,0.00732672
CroCro_0807,0.045882
CroCro_0808,-0.0148664
CroCro_0809,-0.00941307
CroCro_0810,-0.0360144
CroCro_0811,0.025945
M-272,0.0742585
CroCro_0813,0.0823359
CroCro_0814,-0.0184106
CroCro_0815,-0.0212275
M-277,0.0478652
CroCro_0817,-0.0507093
M-279,-0.0102357
CroCro_0819,-0.0122475
CroCro_0820,-0.0208975
CroCro_0821,-0.00305115
CroCro_0822,-0.00535708
CroCro_0823,0.00195313
CroCro_0824,0.00825247
CroCro_0825,0.00438513
M-295,-0.0246158
CroCro_0827,-0.052866
CroCro_0828,4.74571e-4
CroCro_0829,0.00467453
CroCro_0830,-0.0172431
CroCro_0831,-0.0286108
M-305,0.0866458
CroCro_0833,-0.00841445
CroCro_0834,-0.0168346
CroCro_0835,-0.0373565
CroCro_0836,0.0636496
CroCro_0837,-0.011019
CroCro_0838,0.0573718
CroCro_0839,0.0175622
CroCro_0840,-0.049015
M-341,-0.0141483
CroCro_0842,0.00756197
CroCro_0843,0.00971755
M-348,-0.0107355
CroCro_0845,0.0267484
CroCro_0846,-0.0294978
CroCro_0847,0.0490352
CroCro_0848,0.0130429
M-368,0.00216006
M-376,0.0172446
M-381,-0.013736
CroCro_0852,0.00596495
CroCro_0853,-0.00562143
CroCro_0854,0.0259628
CroCro_0855,-0.0108296
M-434,0.00694739
CroCro_0857,-0.0218661
CroCro_0858,0.0583582
CroCro_0859,-0.0126855
CroCro_0860,-0.0170511
CroCro_0861,-0.00351059
CroCro_0862,-0.0218285
CroCro_0863,-0.00572691
CroCro_0864,0.00449176
CroCro_0865,-0.0152898
M-467,0.0214814
M-468,-0.0326045
CroCro_0868,-0.00599751
CroCro_0869,4.38806e-4
CroCro_0870,-0.0146479
CroCro_0871,0.0397776
CroCro_0872,0.00108418
CroCro_0873,-0.0143437
CroCro_0874,-0.0129372
CroCro_0875,0.0127666
CroCro_0876,-0.0215449
CroCro_0877,0.0674698
CroCro_0878,0.0113485
CroCro_0879,0.0193672
CroCro_0880,-0.00659283
CroCro_0881,-0.00919169
N-007,0.0245467
CroCro_0883,0.0417248
CroCro_0884,-0.00244121
N-045,0.00921242
N-046,-0.0302719
CroCro_0888,-0.0127867
CroCro_0889,-0.00292496
N-087,-0.0383858
CroCro_0891,-0.0188691
N-093,-0.0206238
CroCro_0893,0.0097083
CroCro_0894,0.00170857
CroCro_0895,-0.0182741
CroCro_0896,0.052932
CroCro_0897,0.0340524
CroCro_0898,-0.0111135
CroCro_0899,-0.0270414
CroCro_0900,-0.00356321
CroCro_0901,-0.0250704
CroCro_0902,0.0492321
N-114,0.0152358
N-115,0.0122282
N-116,0.0499976
CroCro_0907,-0.0172712
CroCro_0908,-0.00930336
CroCro_0909,-0.00989474
CroCro_0910,-0.0129609
CroCro_0911,0.018326
CroCro_0912,-0.0106751
CroCro_0913,0.0135248
CroCro_0914,-0.0143494
N-137,0.00897357
N-138,0.00591207
CroCro_0917,-0.00868193
CroCro_0918,-0.0098587
N-144,-0.0228229
CroCro_0920,0.0594995
CroCro_0921,0.11155
N-147,0.015563
N-148,-3.29354e-4
CroCro_0925,-0.0217285
CroCro_0926,0.0222726
CroCro_0927,9.43501e-4
CroCro_0929,0.0714272
CroCro_0930,0.0045172
CroCro_0931,0.0191635
CroCro_0932,0.0151493
N-160,0.0124282
CroCro_0934,0.0150726
CroCro_0935,-0.0312033
CroCro_0936,0.0374905
CroCro_0937,0.0181644
CroCro_0938,-0.00361827
CroCro_0939,-0.0301801
CroCro_0940,0.0378479
N-172,0.0214946
N-173,-0.0327611
CroCro_0943,-0.0150041
CroCro_0944,-0.013902
CroCro_0947,-0.030351
CroCro_0948,0.0419262
CroCro_0949,0.025878
CroCro_0950,0.0181914
CroCro_0951,0.0293649
N-196,6.83597e-4
N-197,-0.0036614
N-198,0.00710785
CroCro_0955,-0.0025636500000000002
CroCro_0956,7.23398e-4
CroCro_0957,-0.0329425
N-210,-0.0196474
CroCro_0959,4.9215e-4
CroCro_0960,0.0160675
CroCro_0961,0.00869048
CroCro_0962,-0.00643491
CroCro_0963,0.0138661
CroCro_0964,0.043108
N-230,-0.0113712
CroCro_0966,-0.00401376
CroCro_0967,-0.00451859
CroCro_0968,-0.00457874
CroCro_0969,-0.0347644
CroCro_0970,0.0206268
CroCro_0971,-0.014801
CroCro_0972,-0.00124032
CroCro_0973,0.018555
CroCro_0974,0.0338914
CroCro_0975,0.0495602
CroCro_0976,-0.0359021
CroCro_0977,-0.033521
CroCro_0978,0.0133751
CroCro_0979,-0.0223532
N-281,-0.00951683
CroCro_0983,0.0180336
CroCro_0985,8.43111e-4
CroCro_0986,-0.0137613
CroCro_0987,0.0486563
CroCro_0988,-0.0257675
CroCro_0989,-0.0232429
CroCro_0990,-0.0134178
S-084,0.00812305
CroCro_0992,-0.0161468
CroCro_0993,0.0109821
CroCro_0994,0.177152
CroCro_0995,0.0157352
CroCro_0996,0.014641
CroCro_0997,-0.0146995
CroCro_0998,-0.0198848
CroCro_0999,0.0120928
CroCro_1000,0.0249103
CroCro_1001,-0.00471295
CroCro_1002,-0.00998639
CroCro_1003,6.77144e-4
CroCro_1004,-0.0154637
CroCro_1005,-0.0260133
CroCro_1006,0.0634214
CroCro_1007,-0.025842
CroCro_1008,0.00382029
CroCro_1009,0.0265203
CroCro_1010,0.011374
CroCro_1011,-0.0454466
CroCro_1012,0.00122187
S-127,-0.00636351
CroCro_1014,-0.0108858
CroCro_1015,-0.0151432
CroCro_1016,-0.011801
CroCro_1017,-0.00262234
CroCro_1018,-0.0035238
S-138,-0.0281467
S-139,-0.0151131
S-140,-0.0149821
CroCro_1022,-0.0157763
CroCro_1023,-0.0236622
CroCro_1024,-0.0175453
CroCro_1025,-0.0363551
S-145,-0.0211875
CroCro_1027,0.00483773
CroCro_1028,-0.0234526
CroCro_1029,-0.0194731
CroCro_1030,-0.0145688
CroCro_1031,-0.0134407
CroCro_1032,-0.0268509
S-157,0.0222993
CroCro_1034,0.0104799
CroCro_1035,-0.0422812
CroCro_1036,-0.0117613
CroCro_1037,-0.014011
CroCro_1038,0.0123803
S-174,-0.0268609
CroCro_1040,-0.025534
CroCro_1041,-0.0244944
CroCro_1042,-0.0179149
CroCro_1043,0.0122464
CroCro_1044,0.00519224
CroCro_1045,-0.00471719
CroCro_1046,-0.0308241
CroCro_1047,-0.00177055
S-194,-0.0318536
CroCro_1049,-0.0187953
S-203,0.0586999
CroCro_1051,0.00850266
CroCro_1052,-0.0164349
CroCro_1053,-0.0317535
CroCro_1054,-0.00653727
CroCro_1055,0.0234586
CroCro_1056,-0.0346761
CroCro_1057,0.01561
CroCro_1058,-0.00729543
CroCro_1059,-0.0344274
CroCro_1060,0.00267111
CroCro_1061,0.0196251
CroCro_1062,-0.0076929
CroCro_1063,-0.0331015
CroCro_1064,-0.0121848
CroCro_1065,-0.0163469
CroCro_1066,-0.0029818
CroCro_1067,0.0452133
S-257,-0.00321201
CroCro_1069,-0.0240531
CroCro_1070,-0.0304857
S-261,-0.00457823
CroCro_1072,0.0153045
CroCro_1073,-0.011987
CroCro_1074,-0.0307981
CroCro_1075,-0.0073386
CroCro_1076,-2.36157e-4
CroCro_1077,0.0807488
CroCro_1078,-0.0123904
CroCro_1079,0.008751
CroCro_1080,-0.0032566
CroCro_1081,-0.0244541
CroCro_1082,0.00105368
CroCro_1083,0.0188547
CroCro_1084,-0.0128055
CroCro_1085,0.0127441
CroCro_1086,-0.025897
CroCro_1087,0.0216407
CroCro_1088,-0.0195231
CroCro_1089,0.0201818
S-303,-0.0165035
CroCro_1091,0.0161897
S-307,-0.00461436
CroCro_1093,0.0330982
CroCro_1094,0.122697
CroCro_1095,0.211114
CroCro_1096,-0.0416333
S-314,-0.00551116
CroCro_1098,-0.0111952
CroCro_1099,0.0095113
CroCro_1100,-0.0167436
CroCro_1101,-0.0190351
CroCro_1102,-0.0155674
S-355,-0.0132345
CroCro_1104,-0.00813231
CroCro_1105,-0.0037144500000000002
CroCro_1106,-4.19543e-4
CroCro_1107,-0.00831902
CroCro_1108,-0.029929
CroCro_1109,-7.5535e-4
CroCro_1110,0.0125961
CroCro_1111,0.041603
CroCro_1112,-0.105046
T-080,-0.0215945
CroCro_1114,-0.0144105
CroCro_1115,-0.0153046
CroCro_1116,0.00312918
CroCro_1117,-0.0227648
CroCro_1118,0.038907
CroCro_1119,0.00419382
CroCro_1120,0.00175069
CroCro_1121,-0.0075639
CroCro_1122,-0.0210166
CroCro_1123,0.0130548
CroCro_1124,-0.0168259
CroCro_1125,0.0828382
CroCro_1126,-0.0192279
CroCro_1127,-0.0120183
CroCro_1128,-0.00218448
T-135,-0.0126692
CroCro_1130,0.0037436600000000002
T-142,-0.00763807
CroCro_1132,-0.00627559
CroCro_1133,-0.00444593
T-158,0.13176
CroCro_1135,-0.0108929
CroCro_1136,-0.00450648
T-179,0.0724944
T-180,-0.0144269
CroCro_1139,0.00913425
CroCro_1140,-0.00198558
CroCro_3869,-0.0205149
CroCro_1142,-0.0418861
T-188,0.018817
CroCro_1144,0.00307191
CroCro_1145,-0.025016300000000002
T-197,0.00377131
CroCro_1147,-0.0138314
CroCro_1148,0.0115513
CroCro_1149,-0.0271451
CroCro_1150,-0.0246325
CroCro_1151,-0.0260374
CroCro_1152,-0.0325905
CroCro_1153,0.00547293
CroCro_1154,0.0146209
CroCro_1155,0.0118953
